121 302
28 89 6
120 83 6
86 66 2
98 94 7
50 2 10
77 10 3
61 109 1
56 64 10
92 67 8
65 89 6
60 14 6
64 54 7
33 38 6
116 114 4
34 26 7
86 54 5
15 19 10
101 116 5
5 78 2
77 59 1
7 29 9
71 88 1
53 102 5
36 20 2
38 104 10
25 19 3
21 36 2
120 102 5
23 42 2
5 7 6
50 107 4
89 52 2
79 68 2
68 116 8
56 95 6
100 71 5
12 25 10
73 77 6
97 78 1
14 5 7
90 25 2
83 23 3
96 60 3
1 67 1
92 42 1
76 103 7
69 113 1
66 101 3
114 93 7
64 71 5
108 42 5
89 87 7
59 21 1
118 102 8
117 42 1
15 12 10
19 7 9
45 105 1
35 106 8
102 42 5
69 49 6
73 115 4
66 93 8
39 116 10
45 92 2
58 77 7
63 26 9
78 27 8
61 19 2
8 106 3
53 24 5
107 7 4
89 43 3
15 91 4
19 63 10
19 65 1
98 16 9
81 83 9
69 46 6
70 118 5
64 100 9
18 75 1
4 121 9
103 52 8
68 80 4
43 68 9
32 66 2
82 104 9
29 62 8
103 26 3
89 55 3
24 110 2
74 27 9
24 9 3
35 15 5
54 49 5
14 10 9
57 106 9
78 71 2
22 103 4
24 109 9
107 88 10
32 41 8
89 116 3
52 40 8
34 1 3
121 40 9
107 36 7
91 61 8
5 44 2
82 96 7
88 35 9
84 59 4
121 96 10
57 82 8
33 91 5
101 98 1
2 101 5
2 49 3
17 55 6
4 36 5
50 35 1
13 3 4
103 97 5
46 85 10
11 32 4
81 96 4
42 82 3
72 77 4
37 46 10
106 2 1
106 45 5
34 75 7
31 95 4
29 115 3
25 32 10
13 90 10
29 31 9
80 39 3
108 7 3
23 20 7
76 16 3
100 57 5
112 32 2
28 63 8
38 121 1
13 112 10
112 33 10
52 35 10
111 39 6
57 69 3
55 13 2
111 81 2
41 58 7
121 80 7
66 1 3
48 27 7
53 101 10
31 21 9
93 37 7
115 82 10
49 33 6
46 2 7
115 15 9
31 77 10
54 20 2
27 81 9
53 19 1
26 33 9
119 7 6
118 8 6
118 4 2
11 46 9
9 99 8
55 70 3
102 76 2
62 13 9
82 115 7
58 85 1
66 12 8
28 54 5
41 6 9
115 52 8
43 88 1
50 43 4
89 14 3
109 39 3
57 81 2
108 86 1
1 77 2
36 6 10
25 40 6
25 97 2
92 38 4
68 47 8
117 22 9
3 40 9
70 85 3
95 3 9
50 40 9
82 16 7
6 40 8
53 45 3
86 53 10
18 35 1
45 31 10
47 70 8
48 8 4
110 100 9
49 118 10
66 35 8
24 5 9
22 120 8
35 26 10
57 71 3
3 83 9
28 110 1
37 118 7
7 87 4
76 88 7
88 101 1
109 29 2
47 2 6
21 27 7
42 71 10
48 104 10
2 30 7
111 22 5
63 32 7
105 110 7
11 12 5
50 101 5
44 116 6
112 105 2
60 121 8
92 15 3
56 5 1
92 36 9
31 96 4
81 42 1
15 20 3
64 86 6
29 120 1
79 47 2
63 43 2
94 106 8
113 51 2
108 3 7
16 12 5
62 86 9
91 81 8
83 99 2
47 68 8
47 16 2
52 107 9
84 93 2
103 56 5
30 33 8
33 14 1
54 2 8
80 61 2
44 71 2
24 7 8
113 87 7
99 69 6
78 75 4
87 90 10
28 44 1
75 97 3
11 80 4
110 69 3
61 121 3
45 102 6
94 42 3
114 82 8
38 50 3
93 2 9
79 42 10
104 61 4
39 35 10
85 45 1
109 76 1
104 96 1
52 121 2
85 52 10
4 86 4
15 24 10
119 91 4
31 96 10
119 12 10
76 98 8
92 90 7
8 99 8
8 118 6
39 42 10
55 17 7
68 94 2
66 75 4
53 61 7
114 41 8
17 108 8
56 16 6
